"X" "Y"
"1" 750968 4430701
"2" 753382 4431144
"3" 752480 4429667
"4" 752128 4431203
"5" 753254 4430456
"6" 750988 4431205
"7" 753610 4431293
"8" 752204 4430436
"9" 753156 4430308
"10" 752219 4431182
"11" 752337 4429654
"12" 752379 4429572
"13" 753359 4429930
"14" 752454 4429588
"15" 753267 4430216
"16" 753603 4430725
"17" 753526 4430473
"18" 753264 4430902
"19" 752106 4431093
"20" 752639 4430763
"21" 752892 4431018
"22" 752369 4429955
"23" 752989 4430262
"24" 753765 4431329
"25" 753390 4431421
"26" 752976 4431659
"27" 751922 4430953
"28" 753232 4431118
"29" 753742 4431240
"30" 753492 4429907
"31" 752109 4429523
"32" 753742 4431240
"33" 752609 4429544
"34" 752934 4431626
"35" 751969 4430086
"36" 753742 4431240
"37" 753742 4431240
"38" 753270 4430170
"39" 752964 4430055
"40" 752585 4430527
"41" 752196 4430297
"42" 753421 4430925
"43" 753270 4430170
"44" 752418 4429432
"45" 752012 4430524
"46" 753656 4431571
"47" 753546 4430973
"48" 752711 4430790
"49" 751995 4429312
"50" 753474 4430616
"51" 752636 4430806
"52" 753178 4431562
"53" 751922 4430953
"54" 752377 4429694
"55" 752542 4430578
"56" 752190 4431372
"57" 751030 4430684
"58" 752891 4431566
"59" 752110 4430701
"60" 751812 4430565
"61" 751812 4430565
"62" 753475 4430973
"63" 752722 4430043
"64" 753270 4430170
"65" 753270 4430170
"66" 753131 4431395
"67" 752331 4429614
"68" 752845 4430014
"69" 752199 4430726
"70" 752252 4429645
"71" 752344 4430653
"72" 753123 4431151
"73" 752448 4429810
"74" 753906 4430029
"75" 753123 4431168
"76" 753123 4431168
"77" 752595 4430765
"78" 753274 4430307
"79" 752684 4432072
"80" 752273 4429642
"81" 752273 4429642
"82" 752273 4429642
"83" 753188 4431501
"84" 752063 4431090
"85" 753610 4431293
"86" 753358 4430997
"87" 753403 4430998
"88" 752816 4430555
"89" 752273 4429642
"90" 752816 4430555
"91" 752938 4430168
"92" 752876 4429743
"93" 751545 4430558
"94" 752985 4431231
"95" 753742 4431240
"96" 753348 4431629
"97" 753661 4430534
"98" 753104 4430668
"99" 752664 4432331
"100" 754022 4431178
"101" 753120 4431130
"102" 752211 4429998
"103" 752211 4429998
"104" 752312 4430187
"105" 752312 4430187
"106" 752455 4430541
"107" 752455 4430541
"108" 752828 4430607
"109" 752471 4429891
"110" 752519 4431159
"111" 752697 4431850
"112" 752983 4429340
"113" 753428 4430448
"114" 752973 4430649
"115" 752467 4430496
"116" 752088 4429866
"117" 752128 4429446
"118" 752160 4431039
"119" 752697 4429614
"120" 752849 4430809
"121" 752697 4429614
"122" 753270 4431731
"123" 752018 4430735
"124" 753294 4430147
"125" 752871 4430441
"126" 751665 4430586
"127" 753153 4431537
"128" 752664 4432331
"129" 751013 4431155
"130" 753149 4431801
"131" 752213 4429532
"132" 751865 4430396
"133" 752346 4431242
"134" 752401 4429601
"135" 752401 4429601
"136" 752931 4430488
"137" 753750 4430166
"138" 752596 4430821
"139" 752611 4429778
"140" 752219 4431182
"141" 752252 4429645
"142" 752765 4430606
"143" 753475 4430521
"144" 753153 4430101
"145" 752604 4430841
"146" 753476 4431093
"147" 752823 4430017
"148" 752697 4431850
"149" 753000 4430478
"150" 752055 4430930
"151" 753064 4430437
"152" 751938 4430387
"153" 751938 4430387
"154" 751987 4429305
"155" 752663 4429875
"156" 752714 4430985
"157" 752273 4429642
"158" 752003 4429765
"159" 752918 4430153
"160" 752839 4430900
"161" 752829 4432079
"162" 752586 4429851
"163" 753153 4431537
"164" 752924 4430402
"165" 750752 4430218
"166" 752876 4429743
"167" 753225 4429788
"168" 753951 4430822
"169" 752558 4429863
"170" 752608 4430792
"171" 751020 4430686
"172" 752698 4430070
"173" 751844 4430874
"174" 752740 4430849
"175" 752740 4430849
"176" 752740 4430849
"177" 753119 4429643
"178" 753119 4429643
"179" 750633 4430983
"180" 751875 4430640
"181" 751904 4430625
"182" 753194 4430372
"183" 753229 4431426
"184" 752565 4430352
"185" 751284 4430830
"186" 752096 4430032
"187" 753330 4431063
"188" 751857 4430590
"189" 753904 4431532
"190" 752448 4432442
"191" 753904 4431532
"192" 750471 4429968
"193" 752904 4431542
"194" 753364 4430573
"195" 753401 4430593
"196" 752363 4429934
"197" 753364 4430573
"198" 753210 4430458
"199" 753451 4430226
"200" 753039 4430268
"201" 753706 4430649
"202" 753730 4430425
"203" 753195 4430237
"204" 751893 4430435
"205" 752822 4431093
"206" 751683 4429734
"207" 752807 4430515
"208" 750887 4430713
"209" 752668 4432025
"210" 752699 4430363
"211" 753890 4430283
"212" 753499 4431267
"213" 753906 4430591
"214" 752595 4430765
"215" 754142 4430601
"216" 750965 4431365
"217" 752300 4430657
"218" 752033 4430070
"219" 752061 4429677
"220" 752928 4431477
"221" 752061 4429677
"222" 753197 4431300
"223" 752347 4430254
"224" 752347 4430254
"225" 753086 4431592
"226" 752093 4431043
"227" 750543 4430303
"228" 753788 4430771
"229" 753358 4430969
"230" 752664 4432331
"231" 752993 4431660
"232" 753270 4430170
"233" 753451 4430226
"234" 752327 4429983
"235" 753035 4431756
"236" 753451 4430226
"237" 752364 4430202
"238" 753451 4430226
"239" 752455 4430541
"240" 752888 4430442
"241" 752947 4431279
"242" 752574 4430736
"243" 752664 4432331
"244" 752196 4429638
"245" 752724 4431602
"246" 750866 4431450
"247" 752664 4432331
"248" 753318 4430405
"249" 752235 4430223
"250" 752792 4430684
"251" 753243 4431250
"252" 752926 4430465
"253" 753348 4431006
"254" 753730 4430552
"255" 752527 4430540
"256" 752563 4429540
"257" 752668 4430929
"258" 752728 4429920
"259" 752241 4430305
"260" 752300 4430657
"261" 752413 4429936
"262" 751392 4430209
"263" 752846 4429950
"264" 752314 4429964
"265" 753121 4430278
"266" 752976 4430259
"267" 752606 4429952
"268" 752199 4431247
"269" 753302 4430372
"270" 752306 4430513
"271" 753852 4430827
"272" 752306 4430513
"273" 752335 4429860
"274" 753517 4430260
"275" 753464 4430298
"276" 752672 4432320
"277" 753025 4430163
"278" 752875 4430995
"279" 752312 4430187
"280" 753025 4430163
"281" 750776 4431245
"282" 749802 4431035
"283" 752839 4430900
"284" 753440 4430193
"285" 751629 4429907
"286" 753526 4431331
"287" 752607 4431432
"288" 752966 4429865
"289" 753250 4429905
"290" 753302 4430372
"291" 752976 4430259
"292" 752976 4430259
"293" 751793 4430129
"294" 752300 4430657
"295" 752300 4430657
"296" 751949 4429725
"297" 752244 4429779
"298" 753017 4429950
"299" 752778 4430960
"300" 752786 4430108
"301" 752793 4432133
"302" 753028 4430623
"303" 752974 4429888
"304" 752305 4429921
"305" 753077 4431561
"306" 753077 4431561
"307" 753154 4430817
"308" 753076 4430860
"309" 751804 4430404
"310" 753465 4431309
"311" 752225 4431046
"312" 753128 4430837
"313" 752822 4431093
"314" 752261 4431023
"315" 752298 4430238
"316" 751992 4430527
"317" 752811 4431470
"318" 752685 4430677
"319" 753136 4430083
"320" 752755 4431772
"321" 751901 4429410
"322" 751901 4429410
"323" 753108 4430675
"324" 753136 4430083
"325" 753165 4430642
"326" 753383 4431261
"327" 752593 4429841
"328" 753626 4430656
"329" 753524 4430536
"330" 749624 4430929
"331" 753524 4430536
"332" 753524 4430536
"333" 752900 4430819
"334" 753409 4431361
"335" 752119 4430665
"336" 752600 4430139
"337" 753436 4430063
"338" 753038 4429973
"339" 752736 4430256
"340" 752736 4430256
"341" 752742 4430036
"342" 753132 4431720
"343" 752252 4429645
"344" 753730 4430552
"345" 750754 4431145
"346" 749754 4431044
"347" 752085 4429196
"348" 749928 4430983
"349" 753516 4431374
"350" 750715 4430176
"351" 753526 4430473
"352" 753512 4431250
"353" 752225 4429543
"354" 753144 4430970
"355" 752423 4430247
"356" 753045 4431486
"357" 753526 4430473
"358" 753475 4430521
"359" 752744 4431424
"360" 753244 4431729
"361" 752326 4430014
"362" 752847 4429817
"363" 752326 4430014
"364" 751923 4430751
"365" 751953 4430627
"366" 753527 4431361
"367" 752037 4429621
"368" 753119 4429643
"369" 752496 4429881
"370" 752579 4430742
"371" 752929 4430285
"372" 752969 4430631
"373" 753774 4430288
"374" 753153 4431537
"375" 753270 4430170
"376" 752962 4431547
"377" 752580 4429832
"378" 752661 4430624
"379" 753384 4431388
"380" 753332 4431121
"381" 753039 4431344
"382" 752907 4431263
"383" 753202 4431497
"384" 753202 4431497
"385" 752461 4431794
"386" 753481 4431140
"387" 752489 4429775
"388" 753498 4430409
"389" 752952 4429963
"390" 752952 4429963
"391" 753919 4430651
"392" 753919 4430651
"393" 752864 4430206
"394" 752778 4430765
"395" 753590 4430407
"396" 752325 4429743
"397" 752393 4430066
"398" 753083 4431539
"399" 753170 4430577
"400" 752696 4430396
"401" 753606 4430298
"402" 753083 4431539
"403" 752339 4430223
"404" 753470 4430318
"405" 753582 4430087
"406" 752717 4431810
"407" 752942 4430310
"408" 752810 4432106
"409" 750810 4430969
"410" 752833 4430627
"411" 753392 4431314
"412" 752128 4430987
"413" 752128 4430987
"414" 753348 4430605
"415" 752686 4432297
"416" 752733 4430764
"417" 753263 4430817
"418" 753721 4430131
"419" 753791 4430504
"420" 753615 4431253
"421" 753582 4430087
"422" 752143 4430145
"423" 752746 4430970
"424" 753704 4430039
"425" 753610 4431293
"426" 752099 4430894
"427" 753903 4429970
"428" 752892 4430652
"429" 753723 4430039
"430" 753180 4431407
"431" 752764 4430742
"432" 752764 4430742
"433" 753721 4430028
"434" 752764 4430742
"435" 752807 4430515
"436" 752807 4430515
"437" 751270 4430618
"438" 752913 4429715
"439" 752722 4430043
"440" 752773 4432163
"441" 752773 4432163
"442" 752009 4429667
"443" 753750 4430166
"444" 752468 4430144
"445" 753119 4429643
"446" 752864 4430051
"447" 754137 4431688
"448" 753506 4431387
"449" 752300 4430657
"450" 754058 4430443
"451" 752819 4431008
"452" 752110 4430983
"453" 753115 4432001
"454" 753961 4430465
"455" 753073 4431665
"456" 753011 4430503
"457" 752901 4430341
"458" 752822 4431093
"459" 752901 4430341
"460" 752278 4429350
"461" 752300 4430657
"462" 753005 4430932
"463" 752300 4430657
"464" 752401 4429601
"465" 751976 4430830
"466" 753302 4430372
"467" 753631 4430625
"468" 753532 4430280
"469" 753256 4430949
"470" 752639 4430805
"471" 753650 4430507
"472" 752696 4430429
"473" 752199 4430726
"474" 752740 4430346
"475" 753092 4430980
"476" 752757 4431003
"477" 752828 4430607
"478" 752757 4431003
"479" 753550 4430582
"480" 753367 4431004
"481" 752300 4430106
"482" 753835 4430832
"483" 751288 4430643
"484" 750791 4430897
"485" 752012 4430524
"486" 754154 4430787
"487" 753485 4430346
"488" 753437 4430182
"489" 753092 4430980
"490" 753136 4430166
"491" 753136 4430166
"492" 753470 4430318
"493" 752664 4432331
"494" 753794 4430030
"495" 752676 4431343
"496" 752694 4429454
"497" 752700 4430298
"498" 753453 4430480
"499" 753909 4430341
"500" 752754 4431647
"501" 752759 4431044
"502" 753011 4430503
"503" 752803 4431055
"504" 751899 4430556
"505" 751916 4429740
"506" 751967 4430547
"507" 753053 4430741
"508" 753075 4429900
"509" 752455 4430541
"510" 753075 4429900
"511" 753075 4429900
"512" 753687 4430131
"513" 753972 4430537
"514" 753348 4430605
"515" 753348 4430605
"516" 753780 4430306
"517" 753057 4429918
"518" 753315 4430185
"519" 749866 4431030
"520" 752169 4429601
"521" 752277 4431013
"522" 752014 4429836
"523" 753385 4430891
"524" 753302 4430372
"525" 753645 4430538
"526" 750853 4430942
"527" 753277 4430919
"528" 752479 4431026
"529" 753229 4430624
"530" 753262 4430100
"531" 752252 4429645
"532" 752252 4429645
"533" 752985 4431537
"534" 752252 4429645
"535" 752252 4429645
"536" 752252 4429645
"537" 753234 4430742
"538" 752252 4429645
"539" 753961 4430465
"540" 751878 4430421
"541" 751197 4430527
"542" 752455 4430541
"543" 753329 4431048
"544" 753351 4430771
"545" 753102 4430934
"546" 752849 4430316
"547" 753270 4430170
"548" 753058 4431112
"549" 752120 4429210
"550" 752595 4430765
"551" 753095 4430392
"552" 752220 4430971
"553" 752783 4430780
"554" 753036 4431211
"555" 752952 4430932
"556" 753795 4430474
"557" 753330 4430632
"558" 752524 4430071
"559" 752612 4430719
"560" 753373 4430599
"561" 752199 4430726
"562" 752702 4431056
"563" 752836 4430399
"564" 752805 4430125
"565" 753268 4431826
"566" 753519 4430248
"567" 752453 4430488
"568" 752012 4430524
"569" 752455 4430541
"570" 753251 4429933
"571" 753189 4430853
"572" 753014 4430767
"573" 753014 4430767
"574" 752595 4430765
"575" 753458 4430551
"576" 752821 4430576
"577" 753212 4430898
"578" 752682 4431567
"579" 752888 4430442
"580" 753302 4430372
"581" 753302 4430372
"582" 753716 4430545
"583" 751622 4430646
"584" 753325 4430970
"585" 752107 4430943
"586" 752107 4430040
"587" 753463 4430481
"588" 752608 4429661
"589" 752948 4429728
"590" 752608 4429661
"591" 752139 4431151
"592" 753403 4429761
"593" 752139 4431151
"594" 752679 4430867
"595" 751941 4430961
"596" 753302 4430372
"597" 753308 4430863
"598" 752032 4429514
"599" 753264 4430902
"600" 753264 4430902
"601" 752940 4429959
"602" 753264 4430902
"603" 753264 4430902
"604" 753197 4430625
"605" 753341 4430902
"606" 753464 4430486
"607" 753443 4430230
"608" 753047 4431312
"609" 754006 4431195
"610" 753475 4430305
"611" 751545 4430558
"612" 752888 4430442
"613" 753256 4430477
"614" 752575 4429987
"615" 752600 4429769
"616" 752603 4429944
"617" 753211 4431192
"618" 753035 4431756
"619" 752746 4430283
"620" 752323 4429761
"621" 752947 4430350
"622" 753160 4431564
"623" 753074 4431349
"624" 752506 4429962
"625" 753114 4430204
"626" 753011 4430503
"627" 752895 4431351
"628" 752962 4431547
"629" 752902 4431655
"630" 752003 4429527
"631" 753123 4431168
"632" 753793 4431500
"633" 753138 4430281
"634" 753137 4430105
"635" 752983 4430803
"636" 753566 4430556
"637" 753263 4429984
"638" 753181 4430086
"639" 753674 4429985
"640" 753489 4429647
"641" 753489 4429647
"642" 752516 4429647
"643" 753270 4431731
"644" 752645 4430811
"645" 752655 4430828
"646" 752283 4431280
"647" 752295 4429747
"648" 753721 4430028
"649" 752356 4429905
"650" 752424 4430248
"651" 752017 4430888
"652" 752032 4429076
"653" 752102 4430074
"654" 753597 4430920
"655" 753057 4430510
"656" 753694 4431371
"657" 752709 4430765
"658" 753152 4429534
"659" 753270 4430170
"660" 753074 4431301
"661" 752546 4430422
"662" 752212 4429567
"663" 753270 4430170
"664" 752238 4430583
"665" 752861 4429775
"666" 753852 4430119
"667" 751284 4430830
"668" 753318 4430405
"669" 753377 4430037
"670" 754022 4431178
"671" 752657 4429649
"672" 753730 4430425
"673" 752704 4429996
"674" 754022 4431178
"675" 752033 4430070
"676" 753194 4430372
"677" 753744 4430111
"678" 752826 4431017
"679" 753298 4431334
"680" 752844 4432057
"681" 752904 4430105
"682" 753107 4430117
"683" 753697 4430446
"684" 753086 4430665
"685" 753315 4430029
"686" 753419 4430628
"687" 753257 4430463
"688" 752845 4430425
"689" 753154 4430032
"690" 753117 4430905
"691" 752337 4429654
"692" 752021 4430720
"693" 752961 4429959
"694" 750426 4430134
"695" 752623 4431688
"696" 752181 4431654
"697" 752884 4430543
"698" 751822 4430628
"699" 752707 4429758
"700" 752252 4429645
"701" 752308 4430165
"702" 752308 4430165
"703" 751965 4430424
"704" 752025 4429874
"705" 752718 4430901
"706" 753409 4431361
