"xcoord" "ycoord"
"1" 749591 4430829
"2" 749609 4430853
"3" 749609 4430853
"4" 749609 4430853
"5" 749609 4430853
"6" 749609 4430853
"7" 749734 4430980
"8" 749742 4430978
"9" 749790 4430968
"10" 749853 4430956
"11" 749853 4430956
"12" 749853 4430956
"13" 749913 4430906
"14" 749980 4430929
"15" 749984 4430927
"16" 749984 4430927
"17" 749984 4430927
"18" 750091 4430890
"19" 750091 4430890
"20" 750091 4430890
"21" 750162 4430863
"22" 750162 4430863
"23" 750162 4430863
"24" 750262 4429841
"25" 750262 4429841
"26" 750262 4429841
"27" 750298 4429844
"28" 750337 4429811
"29" 750337 4429811
"30" 750415 4430769
"31" 750458 4429894
"32" 750475 4430746
"33" 750548 4430718
"34" 750548 4430718
"35" 750602 4430862
"36" 750618 4430620
"37" 750618 4430620
"38" 750615 4430892
"39" 750631 4430888
"40" 750631 4430888
"41" 750646 4430886
"42" 750646 4430886
"43" 750668 4430410
"44" 750681 4430393
"45" 750692 4430846
"46" 750692 4430846
"47" 750694 4430985
"48" 750694 4430985
"49" 750694 4430985
"50" 750698 4430846
"51" 750698 4430846
"52" 750698 4430846
"53" 750698 4430846
"54" 750698 4430846
"55" 750698 4430846
"56" 750698 4430846
"57" 750698 4430846
"58" 750698 4430090
"59" 750714 4431089
"60" 750717 4430417
"61" 750718 4430846
"62" 750720 4431090
"63" 750720 4430416
"64" 750725 4430535
"65" 750725 4430535
"66" 750725 4430881
"67" 750731 4430081
"68" 750737 4430141
"69" 750748 4431070
"70" 750748 4431070
"71" 750748 4431070
"72" 750740 4430409
"73" 750727 4431146
"74" 750744 4430990
"75" 750727 4431146
"76" 750752 4430782
"77" 750756 4430081
"78" 750756 4430081
"79" 750757 4430846
"80" 750757 4430846
"81" 750759 4430671
"82" 750759 4430671
"83" 750764 4430533
"84" 750757 4430671
"85" 750768 4431191
"86" 750768 4431191
"87" 750768 4431191
"88" 750775 4430968
"89" 750767 4430070
"90" 750767 4430070
"91" 750767 4430070
"92" 750769 4430843
"93" 750769 4430843
"94" 750772 4431105
"95" 750781 4430821
"96" 750781 4430821
"97" 750781 4430821
"98" 750781 4430821
"99" 750781 4430821
"100" 750781 4430821
"101" 750781 4430821
"102" 750781 4431188
"103" 750781 4431188
"104" 750785 4430806
"105" 750785 4431240
"106" 750790 4430913
"107" 750790 4430913
"108" 750790 4430913
"109" 750790 4430913
"110" 750790 4430913
"111" 750790 4430913
"112" 750790 4430913
"113" 750774 4430836
"114" 750785 4430999
"115" 750778 4430956
"116" 750796 4430662
"117" 750784 4430809
"118" 750796 4430892
"119" 750796 4430892
"120" 750787 4430925
"121" 750793 4431297
"122" 750793 4431297
"123" 750817 4431155
"124" 750814 4430897
"125" 750802 4431132
"126" 750802 4431132
"127" 750802 4431132
"128" 750822 4430346
"129" 750833 4430903
"130" 750833 4430903
"131" 750827 4430116
"132" 750827 4430116
"133" 750827 4430182
"134" 750830 4430265
"135" 750826 4431016
"136" 750844 4430862
"137" 750844 4430862
"138" 750845 4430841
"139" 750845 4430841
"140" 750847 4430195
"141" 750849 4431264
"142" 750849 4431264
"143" 750849 4431171
"144" 750849 4431171
"145" 750849 4431171
"146" 750852 4431038
"147" 750852 4431038
"148" 750847 4430632
"149" 750854 4430803
"150" 750854 4430803
"151" 750854 4430803
"152" 750854 4430803
"153" 750856 4431380
"154" 750856 4431380
"155" 750856 4431380
"156" 750856 4431380
"157" 750856 4431380
"158" 750856 4431380
"159" 750856 4431380
"160" 750844 4430845
"161" 750844 4430845
"162" 750844 4430845
"163" 750844 4430845
"164" 750860 4431000
"165" 750860 4431000
"166" 750855 4430218
"167" 750862 4430648
"168" 750859 4430878
"169" 750862 4430648
"170" 750859 4430878
"171" 750862 4430648
"172" 750862 4430648
"173" 750873 4431365
"174" 750873 4431365
"175" 750873 4431365
"176" 750873 4431365
"177" 750857 4431043
"178" 750857 4431043
"179" 750857 4431043
"180" 750857 4431043
"181" 750875 4430645
"182" 750873 4430885
"183" 750883 4430968
"184" 750866 4431374
"185" 750888 4430931
"186" 750887 4430893
"187" 750887 4430893
"188" 750887 4430893
"189" 750887 4430893
"190" 750887 4430893
"191" 750887 4430893
"192" 750887 4430893
"193" 750889 4430893
"194" 750889 4430893
"195" 750899 4431480
"196" 750900 4430640
"197" 750888 4430960
"198" 750888 4430960
"199" 750906 4431317
"200" 750906 4431317
"201" 750905 4430904
"202" 750905 4430904
"203" 750905 4430904
"204" 750905 4430106
"205" 750908 4430185
"206" 750908 4430185
"207" 750913 4430638
"208" 750930 4431245
"209" 750930 4431245
"210" 750930 4431245
"211" 750930 4431245
