"cx" "cy"
"1" 749599.6419 4430837.87
"2" 749622.1531 4430868.364
"3" 749643.4274 4430897.258
"4" 749663.2999 4430924.153
"5" 749668.7421 4430903.657
"6" 749682.5952 4430950.447
"7" 749693.892 4430965.744
"8" 749709.0643 4430986.34
"9" 749720.1139 4430803.977
"10" 749726.5456 4430903.657
"11" 749737.8425 4430836.87
"12" 749752.3552 4430870.163
"13" 749755.4886 4430793.679
"14" 749760.2712 4430898.258
"15" 749768.1047 4430926.752
"16" 749772.0628 4430827.572
"17" 749772.3101 4430942.749
"18" 749780.0612 4430971.943
"19" 749790.6984 4430860.565
"20" 749800.1811 4430887.56
"21" 749811.6429 4430914.654
"22" 749817.7448 4430929.551
"23" 749869.3639 4430881.861
"24" 749903.2544 4430871.463
"25" 749911.5002 4430945.648
"26" 749928.5691 4430942.249
"27" 749929.3113 4430904.456
"28" 749935.908 4430864.864
"29" 749949.9259 4430904.456
"30" 749961.0578 4430935.85
"31" 749968.3966 4430857.066
"32" 749973.674 4430904.456
"33" 749993.0517 4430926.352
"34" 750003.2766 4430851.167
"35" 750010.7803 4430872.563
"36" 750025.9527 4430916.054
"37" 750074.3559 4430813.974
"38" 750089.3634 4430845.768
"39" 750116.8221 4430881.961
"40" 750250.2406 4429820.373
"41" 750272.9992 4429854.666
"42" 750275.308 4429858.165
"43" 750294.7682 4429886.959
"44" 750307.9616 4429906.256
"45" 750330.8851 4429939.549
"46" 750332.9466 4429791.179
"47" 750345.3154 4429828.671
"48" 750346.0574 4429961.645
"49" 750355.5402 4429889.459
"50" 750369.5581 4429926.152
"51" 750370.6302 4429777.881
"52" 750380.1953 4430011.635
"53" 750383.8235 4429814.874
"54" 750432.6385 4430685.2
"55" 750433.2163 4429755.886
"56" 750444.0178 4430700.697
"57" 750445.8324 4429792.578
"58" 750465.2101 4429850.667
"59" 750470.4046 4430700.897
"60" 750476.6719 4429889.059
"61" 750478.0732 4430746.988
"62" 750494.1526 4430700.897
"63" 750498.6054 4430687.599
"64" 750539.9995 4430889.659
"65" 750555.9964 4430920.653
"66" 750566.9638 4430276.282
"67" 750582.5485 4430116.913
"68" 750596.8139 4430112.114
"69" 750601.3491 4430187.099
"70" 750603.4925 4431012.834
"71" 750616.8513 4430182.9
"72" 750617.4283 4430601.716
"73" 750619.0779 4429695.598
"74" 750626.0867 4430102.516
"75" 750628.4782 4429710.594
"76" 750631.1164 4430653.606
"77" 750632.7655 4430700.697
"78" 750634.8271 4430364.264
"79" 750646.5364 4430175.002
"80" 750647.9377 4431099.217
"81" 750649.3397 4430653.606
"82" 750650.4943 4430384.46
"83" 750655.9367 4430093.418
"84" 750663.028 4430400.657
"85" 750671.0264 4430548.827
"86" 750674.8197 4430139.909
"87" 750676.3864 4430167.403
"88" 750679.1072 4430823.872
"89" 750681.416 4430847.667
"90" 750683.23 4430881.761
"91" 750685.2093 4430429.351
